Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023
01085;La Chapelle-du-Châtelard;1;-0.7;0;0;6.8;91;13.4;2.3
01087;Charix;1;33.3;2.3;0;76.5;21.2;18.3;1.3
01088;Charnoz-sur-Ain;2;94.6;9.4;0;11.9;67.2;6.6;6.2
01089;Château-Gaillard;8;11.4;21.3;0;9.7;69;16.1;69.4
01090;Châtenay;0;-10.7;0;0;23.4;67;14.9;3
01092;Châtillon-la-Palud;5;49.5;8.7;0;46.2;34.9;14;9.1
01093;Châtillon-sur-Chalaronne;6;-9.3;19.4;0;0.2;80.4;18;56
01094;Chavannes-sur-Reyssouze;8;9.9;0;0;7.2;92.8;16.6;12.6
01095;Nivigne et Suran;2;12.3;0.9;0;59.2;39.9;31;4.2
01096;Chaveyriat;1;-12.9;4.5;0;16.3;79;16.9;15.9
01098;Chazey-Bons;6;-12.8;5.1;4.7;42.9;46;15.4;16.6
01099;Chazey-sur-Ain;4;-16.3;9.2;0;14.4;73.2;22;49.9
01100;Cheignieu-la-Balme;1;-31;4;0;75.2;20.8;6.3;0.1
01101;Chevillard;2;-11.3;0;0;64.5;35.5;6.7;0.2
01102;Chevroux;2;-2.4;2.7;0;8.1;89.2;17.2;13.9
01103;Chevry;0;142.7;17.8;0;12.9;69.3;5.8;16.1
01104;Chézery-Forens;1;25.5;0.6;0;86.6;12.8;46.6;3
01105;Civrieux;1;-29;3.6;0;9.6;84.3;19.8;39.2
01106;Cize;1;-16.8;5.6;0;53.5;36.5;4.5;0.7
01107;Cleyzieu;1;26.9;0;0;63;37;7.8;0.2
01108;Coligny;1;64.7;6.1;0;37.2;56.8;16.9;11.1
01109;Collonges;2;22.2;5.2;3.4;60.4;29;16.2;11.2
01110;Colomieu;1;-70.7;0;0;63.4;36.6;6;0.4
01111;Conand;1;N/A - résultat non disponible;0;0;83.7;16.3;15.3;0.1
01112;Condamine;1;75.4;8.4;0;60.9;30.8;4.6;4.2
01113;Condeissiat;0;16.6;4.8;0;9.3;76.3;21.6;11.2
01114;Confort;1;-48.1;2.8;0;70.5;26.7;11.7;5.4
01115;Confrançon;3;-5.3;5.1;0;7.2;87.7;18.2;11.6
01116;Contrevoz;1;15.5;3.4;0;62.9;33.8;14.2;0.9
01117;Conzieu;1;N/A - résultat non disponible;2.9;0;61.2;32.2;7.2;0.9
01118;Corbonod;3;13.5;1.6;0;75.9;21;31.6;13.7
01121;Corlier;0;10.7;0;1;57;42;5.4;0.7
01123;Cormoranche-sur-Saône;4;88.6;11.4;0;23.9;51;9.8;34
01124;Cormoz;4;-6.1;3.4;0;8.9;87.7;19.6;20.8
01125;Corveissiat;2;21.7;1.9;0;57;37.8;22.7;1.9
01127;Courmangoux;6;-25;3.7;0;49.2;47.1;14.8;2.1
01128;Courtes;3;0.8;0.6;0;10.4;89;9.1;6.6
01129;Crans;0;-45.7;0;0;44.6;52.7;13.2;5.6
01130;Bresse Vallons;3;-15.2;8.5;0;15.9;75.6;26;46.1
01133;Cressin-Rochefort;5;16.7;0;0;47.9;37.2;7.9;44
01134;Crottet;8;-6.2;17.3;0;7.9;74.2;12.1;29.2
01135;Crozet;1;-82.9;8.3;0;75.2;16.5;27.5;13.9
01136;Cruzilles-lès-Mépillat;3;-14.8;3.9;0;0;96.1;11.8;11.7
01138;Culoz-Béon;3;-1.8;9.9;6.9;57.3;21.4;29.7;22.1
