Observatoire des territoires - ANCT; ; ; ; ; ; ; ; ; 
Référentiel géographique : Communes (2024); ; ; ; ; ; ; ; ; 
Code;Libellé;Nombre d'Arrêtés de Catastrophes Naturelles publiés au J.O.;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Part des surfaces selon l’occupation du sol 2018;Superficie 2021;Consommation d'espaces naturels, agricoles et forestiers (ENAF) entre le 1er janvier 2009 et le 1er janvier 2023
08382;Saint-Jean-aux-Bois;3;-43.8;3.3;0;6.3;90.3;8.9;0.3
08383;Saint-Juvin;3;-16;2.7;0;0.1;97.3;9.4;0.6
08384;Saint-Lambert-et-Mont-de-Jeux;6;-18.9;0;0;14.9;85.1;10.7;0.7
08385;Saint-Laurent;10;59.5;23.7;0;5.1;71.3;4.3;2.5
08386;Saint-Loup-en-Champagne;2;3.6;2.2;0;4.4;93.4;15.8;3.3
08387;Saint-Loup-Terrier;12;4.9;0;0;16.7;83.3;15.3;8.6
08388;Saint-Marceau;2;12.6;6.7;0;6.4;86.9;4.8;1.8
08389;Saint-Marcel;5;5.6;3.9;0;6.7;89.5;10.8;25.4
08390;Sainte-Marie;2;-63.3;0;0;6.7;93.3;5.6;0
08391;Saint-Menges;10;-27.3;4.6;0;60.6;34.8;12.2;1.8
08392;Saint-Morel;2;3.9;2.3;0;0;97.7;12;1.6
08393;Saint-Pierre-à-Arnes;2;-14.3;0;0;0;100;8.4;1.4
08394;Saint-Pierremont;3;-23;0;0;26;74;19.8;2.6
08395;Saint-Pierre-sur-Vence;6;N/A - résultat non disponible;0;0;13.9;86.1;4.6;18.5
08396;Saint-Quentin-le-Petit;2;0.5;3.7;0;0;96.3;8.9;3.2
08397;Saint-Remy-le-Petit;2;-28;0;0;9.1;90.9;7.5;3.1
08398;Sainte-Vaubourg;2;0.8;0;0;0;100;6.9;0.7
08399;Sapogne-sur-Marche;3;-11.5;0;0;20.6;79.4;5.4;0.7
08400;Sapogne-et-Feuchères;7;-10.2;2.5;0;30;67.5;10.7;2.5
08401;Saulces-Champenoises;3;3;3;0;4.6;92.4;22.6;11.7
08402;Saulces-Monclin;5;-15.7;2.7;0;10;87.3;20.2;8.5
08403;Sault-lès-Rethel;12;32.1;17.5;0;0;82.5;6.4;2.7
08404;Sault-Saint-Remy;2;-27;0;0;16.9;83.1;9.6;1.6
08405;Sauville;5;71.3;3;2.7;19.9;73.2;14.8;1.7
08406;Savigny-sur-Aisne;7;-2.9;4;0;8.2;87.8;10.4;0.9
08407;Séchault;5;54;15.1;0;15.2;69.7;10.9;0.6
08408;Sécheval;5;123.8;2.6;0;83.4;14;13.8;4.5
08409;Sedan;20;33.9;41.5;0;14.5;42.3;16.3;13.4
08410;Semide;2;3.4;1;0;2.7;96.3;37;6.6
08411;Semuy;6;1628.6;0;0;12.4;87.6;4;0.1
08412;Senuc;8;-79.5;0;0;56.4;43.6;13.6;0.2
08413;Seraincourt;3;-11.4;2.7;0;7.5;89.7;16.2;1.3
08415;Sery;4;-21.2;1.9;0;8.4;89.7;18.6;3.1
08416;Seuil;7;81.6;2.5;0;0;97.5;11.8;4.6
08417;Sévigny-la-Forêt;2;53.1;1.8;0;81.5;16.7;26.1;8.5
08418;Sévigny-Waleppe;3;26.7;1.8;0;0.1;98.1;24.1;2
08419;Signy-l'Abbaye;15;-14.6;2.6;0;52.1;45.3;62;6.1
08420;Signy-le-Petit;6;-0.2;2.3;0;67.5;29.9;38.7;9.5
08421;Signy-Montlibert;3;8.4;0;0;10.4;89.6;6.1;0.2
08422;Singly;4;93.4;2.5;0;20.3;77.2;9.9;0.5
08424;Sommauthe;2;21.5;2.7;0;47.8;49.5;9.8;0.8
08425;Sommerance;2;6;5.2;0;4;90.8;5.2;1.4
08426;Son;2;-3.5;3;0;1.1;95.9;9;3.2
08427;Sorbon;2;-1.1;2.5;0;8.9;88.5;14.4;5.2
08428;Sorcy-Bauthémont;7;-2.1;2.8;0;30.7;66.5;11.1;2.7
08429;Sormonne;6;-40.8;8.9;0;2.6;88.5;4.8;2.4
08430;Stonne;2;11;0;0;37.8;62.2;7.2;0.2
08431;Sugny;2;21.5;0;0;10.1;89.9;6.1;1.2
08432;Sury;2;-81.8;0;0;0;100;3.3;2.3
08433;Suzanne;4;-32.2;0;0;11.2;88.8;6.4;0.6
08434;Sy;2;4;0;2.6;16.6;80.8;8;0.2
08435;Tagnon;2;-3.6;3.4;0;8.4;88.2;24;4.8
08436;Taillette;2;25.2;0.3;0;30.1;69.6;15.2;4.3
08437;Tailly;6;-4.5;0;0;29.4;70.6;39.3;1.1
08438;Taizy;3;-19.3;0.4;0;3.3;95.9;9.1;1
08439;Tannay;3;11.1;2.8;0.5;5.5;91.1;14;0.7
08440;Tarzy;4;3.5;2.5;0;6.8;90.7;10.1;0.9
08444;Tétaigne;5;-9.5;4.8;0;3.7;91.5;5.8;0.7
08445;Thelonne;6;-0.2;7.9;0;25.8;66.3;3.8;3.7
08446;Thénorgues;6;-16.2;2.7;0;18.7;78.6;9.2;0.7
08448;Thilay;11;-60;2.6;0;92.2;5.2;36;2.1
08449;Thin-le-Moutier;4;12.5;1;1.4;46.1;51.5;39.7;9.3
08450;This;6;-31.9;6;0;6.7;87.3;4.5;1.9
08451;Le Thour;2;-12;3;0;3.3;93.7;16.6;2.6
08452;Thugny-Trugny;8;-45.1;2.3;0;3.3;94.5;13.4;1.9
08453;Toges;2;N/A - résultat non disponible;0;0;71.7;28.3;3.4;2.1
08454;Touligny;4;23.7;0;0;48.1;51.9;7.3;1.1
08455;Tourcelles-Chaumont;2;124.1;0;0;0;100;4.8;0.6
08456;Tournavaux;9;N/A - résultat non disponible;0;0;65.9;34.1;1.6;4.5
08457;Tournes;9;30;22.7;0;3.5;73.8;8.3;11.3
08458;Tourteron;3;3.1;2.9;0;8.9;88.2;8.8;0.2
08459;Tremblois-lès-Carignan;3;-22.7;0;0;30.1;69.9;4.3;1.3
08460;Tremblois-lès-Rocroi;2;4;22.2;0;3.8;74;1.6;1.1
08461;Vandy;3;1.8;2.4;0;32;65.5;11.1;0.8
08462;Vaux-Champagne;3;13;0;0;0.2;99.8;10.8;2.3
08463;Vaux-en-Dieulet;2;-15.6;0;0;21.5;78.5;11;1
08464;Vaux-lès-Mouron;3;-0.8;0;0;3.8;96.2;2.1;0.3
08465;Vaux-lès-Rubigny;3;-34.8;7.7;0;0;92.3;3.9;1
08466;Vaux-lès-Mouzon;2;-23;0;0;22.3;77.7;7.6;0.6
08467;Vaux-Montreuil;10;-11.5;0;0;4.9;95.1;8.3;0.9
08468;Vaux-Villaine;6;-11.1;0.4;0;29;70.6;10;1.2
08469;Vendresse;6;7.3;0.9;0;56.3;41.8;43.2;1.3
08470;Verpel;4;-9.3;2.1;0;12;85.9;15.2;1.3
08471;Verrières;4;-46.2;0;0;16;84;6.4;0.2
08472;Viel-Saint-Remy;7;4;1.2;0;14.4;84.4;22.6;2.4
08473;Vieux-lès-Asfeld;6;-14.7;4;0;0.3;95.8;6.7;2.3
08476;Villers-devant-le-Thour;3;-11.7;2;0;3.4;94.7;16.4;5.1
08477;Villers-devant-Mouzon;8;-5.8;0;0;28.4;70.8;4.5;0.9
08478;Villers-le-Tilleul;2;-9.1;11;0;22.4;66.6;8.6;5.1
08479;Villers-le-Tourneur;3;5.1;0;0;21.8;78.2;7.8;2.6
08480;Villers-Semeuse;18;-79.1;37.9;0;5;50.6;7;6.9
08481;Villers-sur-Bar;8;-3.8;0;0;5.4;89.6;5.4;1
08482;Villers-sur-le-Mont;2;-1.6;0;0;10.5;89.5;5.3;0.9
08483;Ville-sur-Lumes;5;-45.7;9.2;0;39.7;51.1;3.1;2.1
08484;Ville-sur-Retourne;2;17.1;2.7;0;3.7;93.6;9.6;0.8
08485;Villy;5;82.9;5.3;0;0;94.7;7.8;3.1
08486;Vireux-Molhain;14;-4.2;14.4;0;60.1;24.9;8.3;2.3
08487;Vireux-Wallerand;11;-60.9;5.8;0;80.3;10.5;21.1;6.3
08488;Vivier-au-Court;7;66.8;20.8;0;24.1;55.1;9.3;13
08489;Voncq;7;-36.7;1.3;0;34;64.7;19.9;0.7
08490;Vouziers;9;49.2;7.6;0;12.3;80.2;42.5;24.2
08491;Vrigne aux Bois;12;-41.6;10.3;0;60.3;29.4;22.6;11.1
08492;Vrigne-Meuse;9;53.2;8.9;0;9.1;82;4.4;3.4
08494;Wadelincourt;12;6;12.7;0;20.6;66.6;4.2;2.7
08496;Wagnon;4;-10.4;1.9;0;52.7;45.5;15.3;0.9
08497;Warcq;19;-24.5;15;0;17.9;67.1;9.2;51.3
08498;Warnécourt;2;13900;5.7;0;3.9;90.4;5.4;4.9
08499;Wasigny;8;-0.5;2.9;0;10.7;86.4;10;0.5
08500;Wignicourt;8;N/A - résultat non disponible;5.5;0;20.3;74.2;4.5;0.2
08501;Williers;3;N/A - résultat non disponible;0;0;40.6;59.4;2.3;0.4
08502;Yoncq;4;-3.9;2;0;31;67;15.5;1
08503;Yvernaumont;5;7.8;6.4;0;38;55.6;2.8;0
09001;Aigues-Juntes;5;16.5;0;0;75.6;21.7;7.8;0.6
09002;Aigues-Vives;5;-28.5;9.6;0;35.2;55.2;5.2;7.7
09003;L'Aiguillon;9;-0.5;6.5;0;65.2;28.2;6.4;2.2
09004;Albiès;4;-55.6;3.7;0;92;4.3;7.7;1
09005;Aleu;6;-8.2;0;0;97.9;2.1;13.9;0.8
09006;Alliat;4;2;2.7;0;83.8;13.5;3.5;1.7
09007;Allières;4;-4.8;0;0;55.1;44.9;9.1;1
09008;Alos;4;-47.2;0;0;77.4;22.6;24.3;0.5
09009;Alzen;6;48.6;0;0;75.3;24.7;17.9;3.4
09011;Antras;5;-56;0;0;92;8;20;0.1
09012;Appy;4;367.6;0;0;93.4;6.6;6.1;0.1
09013;Arabaux;5;N/A - résultat non disponible;0.9;0;56.6;42.5;4.6;1.6
09014;Argein;6;0.3;2.3;0;66.3;31.5;11.1;0.5
09015;Arignac;5;42.7;10;0;77.8;11.9;8.8;5
09016;Arnave;4;13.7;0;0;84.1;15.9;8.4;0.6
09017;Arrien-en-Bethmale;4;88.8;0.1;0;85.2;14.7;14.6;0.7
09018;Arrout;4;-17.6;0;0;83.3;16.7;3;0.1
09019;Artigat;27;-43.6;0;0;27.9;72.1;23.9;5.2
09020;Artigues;4;-35.3;0;0;87.4;12.3;12.4;0.7
09021;Artix;4;-39.3;0;0;43.5;56.5;7.3;1.2
09022;Arvigna;8;30.6;0;0;45.3;54.7;8.6;1.5
09023;Ascou;5;23.6;0;0;92.8;7.2;35.6;0.6
09024;Aston;4;23.9;0.3;0;99.2;0;153.8;3.3
09025;Aucazein;5;-20.7;0;0;77.2;22.8;6;0.2
09026;Audressein;4;2.9;6.4;0;39.3;54.3;4;2.6
09027;Augirein;5;-16.7;0;0;86;14;9.8;0.4
09029;Aulus-les-Bains;6;41.9;0.8;0;97;2.2;52.2;0.7
09030;Auzat;8;-61.6;0.3;0;97;1.5;162.7;0.7
09031;Axiat;5;-10.7;0;0;84.9;15.1;9.5;0.7
09032;Ax-les-Thermes;9;-73.5;4.3;0;93.1;2.6;30.3;2.2
09033;Bagert;4;-93.9;0;0;59.1;40.9;3.3;0
09034;Balacet;4;N/A - résultat non disponible;0;0;87.8;12.2;2.1;0.2
09035;Balaguères;5;5.7;0;0;68.9;31.1;17.8;1.4
09037;Barjac;4;-14.1;0;0;60.1;39.9;2.8;0.1
09038;La Bastide-de-Besplas;11;2.2;0;0;11.3;88.7;10.2;3.4
09039;La Bastide-de-Bousignac;7;43.7;2;0;24;73.9;12.5;6.8
09040;La Bastide-de-Lordat;4;-2.6;0;0;1.9;98.1;6;2.3
09041;La Bastide-du-Salat;6;23.8;0;0;60.6;39.4;6.6;0.7
09042;La Bastide-de-Sérou;14;9.8;2.6;0;29;67.9;43.6;11.3
09043;La Bastide-sur-l'Hers;6;986.7;10.8;0;40.9;48.3;4.8;2.7
09044;Baulou;4;-7.7;0;0;69.4;30.6;14.6;1.1
09045;Bédeilhac-et-Aynat;5;195.9;0;0;81.4;18.6;6.4;0.8
09046;Bédeille;9;25.6;0;0;51.9;48.1;9.5;0.3
09047;Bélesta;12;101.1;2.8;0;83.5;13.7;26.9;4.9
09048;Belloc;5;-28.1;0;0;38.1;61.8;9.5;1.7
09049;Bénac;4;3.4;0;0;26.4;73.6;2.8;0.8
09050;Benagues;9;73.1;13.9;0;30.6;55.5;3;1.5
09051;Bénaix;6;81.8;0;0;83;17;14.7;2.4
09052;Besset;5;-28.6;0;0;47.3;52.7;8.1;2.6
09053;Bestiac;4;71.6;18.5;0;76.3;5.2;6.6;0.3
09054;Betchat;12;16.3;0;0;58.1;41.9;22;1
09055;Bethmale;5;7.1;0.8;0;92.2;7.1;31.6;0.2
09056;Bézac;9;17;0;0;25.6;74.4;11;14.5
09057;Biert;6;-27.7;0;0;87.6;12.4;23.5;2
09058;Bompas;4;N/A - résultat non disponible;9.1;0;66.7;21.7;2.8;0.5
09059;Bonac-Irazein;6;104.5;0;0;91.8;8.2;38.1;0.1
09060;Bonnac;6;-2;6.7;0;41.9;51.4;9.6;3
09061;Les Bordes-sur-Arize;17;-12.7;0;0;29.9;70.1;12.7;5.4
09062;Bordes-Uchentein;6;-10.2;0.6;0;94.9;4.5;54.5;0.8
09063;Le Bosc;5;4.8;0;0;100;0;25.6;0
09064;Bouan;5;N/A - résultat non disponible;0;0;75.7;24.3;3.4;0.2
09065;Boussenac;4;27.7;0;0;79.5;20.5;26;0.6
09066;Brassac;4;-34.6;1;0;78;21.1;24.3;2.9
09067;Brie;5;-8.9;0;0;4.1;95.9;7.1;2.9
09068;Burret;4;N/A - résultat non disponible;0;0;100;0;5;0.2
09069;Buzan;4;168.2;0;0;76.7;23.3;8.6;0.2
09070;Les Cabannes;4;N/A - résultat non disponible;50.4;0;1.2;48.4;0.9;0.6
09071;Cadarcet;4;43.9;0;0;39.5;60.5;11;1.1
09072;Calzan;4;35.5;0;0;83.6;16.4;4;0.4
09073;Camarade;4;5.5;0;0;62.4;37.6;27.7;6.7
09074;Camon;6;87.9;0;0;49;51;10.2;3.1
09075;Campagne-sur-Arize;11;-35.9;0;0;39.5;60.5;13.3;2.4
09076;Canté;10;16.5;0;0;29.1;70.9;9.8;1.8
09077;Capoulet-et-Junac;5;475.2;0;0;67.5;32.5;2.8;1
09078;Carcanières;4;16.6;0;0;83.7;16.3;6.5;0.2
09079;Carla-Bayle;12;38.8;0;0;4;96;35.5;11.3
09080;Carla-de-Roquefort;6;100;0;0;73.2;26.8;9.3;1.7
09081;Le Carlaret;4;-5.5;0;0;1.5;98.5;9.4;3.5
09082;Castelnau-Durban;5;-31.6;2.6;0;39.7;57.7;13.2;1.3
09083;Castéras;7;-29.9;0;0;10.1;89.9;1.8;0.5
09084;Castex;6;150.6;0;0;9.9;90.1;7;2.7
09085;Castillon-en-Couserans;5;-75.5;7.1;0;73.3;19.6;4.9;2.5
09086;Caumont;7;6.6;4.6;0;36.5;58.8;9.2;11.1
09087;Caussou;4;-24.1;0;0;98;2;15.8;0.2
09088;Caychax;5;N/A - résultat non disponible;0;0;97.4;2.6;5.7;0.1
09089;Cazals-des-Baylès;5;269.9;0;0;42.9;55;4.7;0.3
09090;Cazaux;4;-57.8;0;0;52.9;47.1;7.4;0.5
09091;Cazavet;5;12.3;0;0;74.2;25.8;17.9;1.3
09092;Cazenave-Serres-et-Allens;6;N/A - résultat non disponible;0;0;98;2;16.1;0.4
09093;Celles;5;-96.4;0;0;79;21;10.3;0.5
09094;Cérizols;11;-24.9;0;0;38.3;61.7;14.3;0.6
09095;Cescau;4;66.4;0;0;61.3;38.7;5.3;2.9
09096;Château-Verdun;4;N/A - résultat non disponible;6.5;0;67.1;26.4;0.8;0
09097;Clermont;5;22.7;0;0;59.7;40.3;7.4;0.4
09098;Contrazy;4;11;0;0;69;31;8.3;1.3
09099;Cos;6;4.9;1.4;0;31.1;67.5;6.4;1.9
09100;Couflens;4;-47.1;0;0;98.6;1.4;56.3;0
09101;Coussa;5;63.7;0;0;23.1;76.9;7.7;2.8
09102;Coutens;5;29.7;0;0;54.7;45.3;4.2;0.7
09103;Crampagna;6;-14.9;3.1;0;41;56;10;15.6
09104;Dalou;6;-37.1;5.8;0;65;29.2;7.7;2.7
09105;Daumazan-sur-Arize;18;16.2;3.1;0;12;84.9;13.8;6.1
09106;Dreuilhe;8;N/A - division par 0;7.8;0;71;21.2;6.9;3.8
09107;Dun;7;1.7;0;0;71.7;28.3;41.4;6.1
09108;Durban-sur-Arize;8;7.2;0;0;34.2;65.8;6.8;1.4
09109;Durfort;6;2.9;0;0;2.1;97.9;11;1
09110;Encourtiech;4;-22.2;3;0;80.9;16;4.8;0.5
09111;Engomer;8;-2.3;4.3;0;56.2;39.6;7.6;1.1
09113;Ercé;6;-19.4;0.7;0;77.4;21.9;40.8;3.6
09114;Erp;6;-43.5;0;0;83.4;16.6;9.2;0.9
09115;Esclagne;6;-47.6;7.7;0;25.3;67;3.5;0.9
09116;Escosse;9;3;0;0;10.4;89.6;14.8;3.5
09117;Esplas;4;1.9;0;0;4.9;95.1;7.6;1.2
09118;Esplas-de-Sérou;4;-6.6;0;0;83.7;16.3;34.1;1.1
09119;Eycheil;7;54.1;6.9;0;61;32.1;4.8;1.4
09120;Fabas;13;15.6;0;0;55;45;23;1.6
09121;Ferrières-sur-Ariège;4;-57.1;19.5;0;76;4.5;3.5;3.1
09122;Foix;14;-2.4;33;0;38.6;27.9;19.3;29.8
09123;Fornex;5;-21.5;0;0;31.8;68.2;9.6;2
09124;Le Fossat;21;-34.1;4.1;0;0;95.9;14.4;6.7
09125;Fougax-et-Barrineuf;8;-84;0.8;0;94.3;4.9;31.5;3.3
09126;Freychenet;5;-40.5;0;0;81.1;18.9;24.7;0.4
09127;Gabre;10;-43.8;0;0;77.4;18.5;13.4;1.4
09128;Gajan;5;-3.6;2.8;0;28.4;68.9;8.2;2.8
09129;Galey;4;20.8;0;0;73.1;26.9;9.3;0.1
09130;Ganac;4;14.2;0.8;0;82.2;17;20.2;3.9
09131;Garanou;5;N/A - résultat non disponible;7.5;0;68.5;24.1;3;0.8
09132;Gaudiès;6;27.9;0;0;3.5;96.5;10.4;3.9
09133;Génat;5;-50.6;0;0;74.5;25.5;8.2;0.3
09134;Gestiès;4;N/A - résultat non disponible;0;0;99;0.1;27.5;0
09136;Gourbit;7;133.3;0;0;96.9;3.1;18;0.2
09137;Gudas;5;-63.2;0;0;80.4;19.6;10.7;2.4
09138;L'Herm;8;12.4;0;0;72.4;27.6;14.7;3.3
09139;L'Hospitalet-près-l'Andorre;4;N/A - résultat non disponible;1.3;0;97.3;1.4;26.1;0.1
09140;Ignaux;4;-27.4;0;0;83.9;16.1;5.5;5.8
09141;Illartein;4;22.2;0;0;80.1;19.9;4;0.4
09142;Ilhat;5;24.3;0;0;70.1;29.9;6.9;0.9
09143;Illier-et-Laramade;4;N/A - résultat non disponible;0;0;100;0;5;0.2
09145;Les Issards;5;31.3;0;0;11.8;88.2;3.8;2.4
09146;Justiniac;5;48;0;0;12.8;87.2;4.6;0
09147;Labatut;9;82.2;0;0;1.8;98.2;3.6;2.2
09148;Lacave;6;12.4;0;0;45.8;54.2;4.5;0.6
09149;Lacourt;5;37.1;0;0;79;21;16.5;0.2
09150;Lagarde;7;54.8;0;0;42.2;57.8;11.9;2
09151;Lanoux;7;-9.7;0;0;4.7;95.3;3.8;0.1
09152;Lapège;5;N/A - résultat non disponible;0;0;100;0;8.3;0
09153;Lapenne;6;18;0;0;34.3;65.7;21.6;1.3
09154;Larbont;4;N/A - résultat non disponible;0;0;64.9;35.1;6.2;0.4
09155;Larcat;4;40.2;0;0;100;0;9.3;0.7
09156;Larnat;4;N/A - résultat non disponible;0;0;92.8;7.2;5.6;0.2
09157;Laroque-d'Olmes;13;15.6;13.6;0;31.7;54.8;14.4;13.5
09158;Lasserre;6;-66.2;0;0;55.2;44.8;8.5;2
09159;Lassur;5;N/A - résultat non disponible;0;0;96.1;3.9;12;1.4
09160;Lavelanet;11;-56.8;29.6;0;44.5;25.8;12.6;12
09161;Léran;8;10.9;4.4;0;27.2;55.7;11.9;3.6
09162;Lercoul;4;N/A - résultat non disponible;0;0;97.5;0;19;0.3
09163;Lescousse;5;6.7;0;0;2.6;97.4;8.5;0.6
09164;Lescure;6;-3.8;0;0;25.8;74.2;25.8;2.5
09165;Lesparrou;7;48.6;0;0;66.5;33.5;16.1;2.6
09166;Leychert;4;25.8;0;0;70.1;29.9;5.8;0.9
09167;Lézat-sur-Lèze;17;8.6;2.9;0;0;97.1;40.1;18.8
09168;Lieurac;4;229.6;0;0;53.3;46.7;6.4;2.7
09169;Limbrassac;4;11.3;0;0;54.9;45.1;12.4;2.3
09170;Lissac;10;20.9;0;0;20.3;79.7;3.8;0.9
09171;Lordat;4;19;16;0;81.5;2.5;7.4;1.3
09172;Loubaut;6;N/A - résultat non disponible;0;0;9;91;2.4;0.4
09173;Loubens;6;41.6;0;0;39.8;60.2;11.7;2.2
09174;Loubières;4;-12.6;16.1;0;58;25.8;2.9;4.1
09175;Ludiès;4;-3.8;0.4;0;11.8;87.8;1.9;1.2
09176;Luzenac;5;15.4;2.2;0;95;2.8;26.4;1.5
09177;Madière;5;0.5;0;0;16.9;83.1;10.3;5
09178;Malegoude;4;-34.1;0;0;34.8;65.2;6.1;0.1
09179;Malléon;4;-25.5;0;0;62.5;37.5;6.8;0.4
09180;Manses;7;-33.5;2.1;0;68.2;28.6;15.4;2.7
09181;Le Mas-d'Azil;15;-4.2;1.7;0;52.1;44.8;39.4;9.5
09182;Massat;6;-30.1;0.6;0;83.4;16;44.7;3.9
09183;Mauvezin-de-Prat;4;59.2;0;0;44.7;55.3;1.9;0.3
09184;Mauvezin-de-Sainte-Croix;4;94.1;0;0;53.3;46.7;5.2;1.5
09185;Mazères;9;27.7;8.9;0;0;91.1;44;70.2
09186;Méras;5;-26.7;0;0;16.5;83.5;3.7;0.8
09187;Mercenac;4;-9;2.5;0;50.9;46.6;13.6;5.9
09188;Mercus-Garrabet;5;-32.4;7.6;0;87;2.8;14.8;11.6
09189;Mérens-les-Vals;5;-37.1;0.5;0;97.6;1.8;80.1;2.2
09190;Mérigon;6;62.6;0;0;60.2;39.8;6.3;0.1
09192;Miglos;4;31.4;0;0;93.9;6.1;18.8;0.7
09193;Mijanès;4;N/A - résultat non disponible;0;0;94.7;4.8;40;0.1
09194;Mirepoix;9;37;4.4;0;33.2;62.2;47.3;13.4
09195;Monesple;8;12.8;0;0;57.7;42.3;6.1;0.1
09196;Montagagne;4;-67.5;0;0;83.7;16.3;7.1;0.4
09197;Montaillou;4;N/A - résultat non disponible;0;0;71.1;28.9;8.6;0.2
09198;Montardit;4;96.2;0;0;40.4;59.6;7.3;1.3
09199;Montaut;10;-8.4;3.7;0;1.5;93.7;35;12.6
09200;Montbel;13;-11.1;0;0;44;30.3;17.4;3.8
09201;Montégut-en-Couserans;4;-34;0;0;64.4;35.6;6.2;0.1
09202;Montégut-Plantaurel;5;22.2;0;0;52.2;47.8;19;3.8
09203;Montels;4;2.5;0;0;12.1;87.9;3.7;0.2
09204;Montesquieu-Avantès;4;-0.6;0;0;30.2;69.8;16.5;0.8
09205;Montfa;5;48.6;0;0;74.4;25.6;8.5;0.3
09206;Montferrier;15;4.7;2;0;91.3;6.7;51.8;3.1
09207;Montgailhard;5;152.9;16.9;0;51.3;31.8;7.9;6.9
09208;Montgauch;4;-17.3;0;0;57.6;42.4;9.2;0.4
09209;Montjoie-en-Couserans;6;-1.8;0.1;0;34.7;65.2;29.6;5.2
09210;Montoulieu;5;-37.3;2.4;0;92.1;5.5;14.1;2.1
09211;Montségur;4;439.6;0.4;0;98.1;1.5;37.2;0
09212;Montseron;4;118.3;0;0;54.6;45.4;8.9;0.8
09213;Moulin-Neuf;5;N/A - résultat non disponible;15.5;0;25.4;59.1;2.6;0.1
09214;Moulis;9;-20.3;1.9;0;69.4;28.7;36.5;2.8
09215;Nalzen;4;-13.2;0;0;71.7;28.3;5.5;0.7
09216;Nescus;6;3.1;0;0;64.7;35.3;3;0.6
09217;Niaux;4;N/A - résultat non disponible;7;0;84.1;8.8;4;0.7
09218;Orgeix;5;47.2;0;0;98.8;1.2;18.4;0.5
09219;Orgibet;4;39.1;3;0;81.5;15.5;7.4;0.4
09220;Orlu;6;16.2;0;0;97.2;1.4;70.8;1
09221;Ornolac-Ussat-les-Bains;5;-33.3;0;0;87;13;12;0.5
09222;Orus;4;N/A - résultat non disponible;0;0;100;0;9.1;0
09223;Oust;9;10.2;2.8;0;68.6;28.6;19;6.4
09224;Pailhès;16;-12;0;0;37.9;62.1;21.5;3.6
09225;Pamiers;10;28.8;18.8;0;14.6;66.6;45.9;66.3
09226;Pech;4;N/A - résultat non disponible;3;0;96;1;4.8;0.2
09227;Péreille;8;78.9;3;0;78.3;18.8;5.4;1
09228;Perles-et-Castelet;7;-100;1.5;0;91.8;6.7;17.8;4.3
09229;Le Peyrat;7;29.7;6.1;0;36.3;57.6;6.1;3.3
09230;Le Pla;4;N/A - résultat non disponible;0;0;89.4;10.6;13;1.2
09231;Le Port;6;3.3;0;0;91.9;8.1;49.9;0.3
09232;Prades;4;63.8;0;0;90.8;9.2;29;0.4
09233;Pradettes;5;145.9;0;0;61.5;38.5;3.5;0.1
09234;Pradières;6;-82.3;0;0;70.2;29.8;6.8;0.9
09235;Prat-Bonrepaux;9;9.7;5.3;0;47.5;47.2;14.4;35.9
09236;Prayols;4;74.1;4.6;0;81.3;14;7.8;1.8
09237;Le Puch;5;1133.3;0;0;68.5;31.5;2.9;0.3
09238;Les Pujols;6;18.6;7.7;0;12.5;79.8;13.2;10.2
09239;Quérigut;4;16.4;0;0;93.1;6.9;36.4;0.5
09240;Quié;4;N/A - résultat non disponible;13.8;0;78.3;7.9;2.5;1.2
09241;Rabat-les-Trois-Seigneurs;6;69.9;1.2;0;93.9;4.9;27;2.6
09242;Raissac;4;29;0;0;66.6;33.4;3.8;0.6
09243;Régat;5;32;0.1;0;9;90.9;2.2;0.5
09244;Rieucros;5;20;11;0;25.3;63.7;5.6;8
09245;Rieux-de-Pelleport;9;183.3;10.5;0;62.5;27;8.2;2.2
09246;Rimont;7;2.1;1.2;0;54.2;44.6;28.4;4.8
09247;Rivèrenert;6;-18.2;0;0;92.7;7.3;28.8;0.7
09249;Roquefixade;4;-31.3;0;0;54.4;45.6;12.3;0
09250;Roquefort-les-Cascades;5;-27.2;0;0;57.8;42.2;7.1;0.8
09251;Roumengoux;11;26.5;2.2;0;24.9;66.7;6.9;3.2
09252;Rouze;4;116.7;0;0;92.7;7.3;9.5;0.4
09253;Sabarat;18;9;0;0;22.6;77.4;9.5;3.3
09254;Saint-Amadou;5;-61.6;13.9;0;7.1;79.1;4.6;27.4
09256;Saint-Bauzeil;4;-47.9;0;0;43.8;56.2;4.5;0.6
09257;Sainte-Croix-Volvestre;24;24.8;0;0;62.7;37.3;19.7;1.6
09258;Saint-Félix-de-Rieutord;5;56.4;5;0;43;52.1;6.8;2.7
09259;Saint-Félix-de-Tournegat;7;-4.9;0;0;10.5;89.5;10.5;0.6
09260;Sainte-Foi;4;28.4;0;0;4.3;95.7;2.4;0.6
09261;Saint-Girons;11;15.7;18.6;0;32.2;49.2;19.1;19.1
09262;Saint-Jean-d'Aigues-Vives;9;N/A - résultat non disponible;5.3;0;59.4;35.4;4.5;1.3
09263;Saint-Jean-du-Castillonnais;4;N/A - résultat non disponible;1.5;0;87.8;10.7;4.7;0.1
