#-----------------------------------------------------------------------------
# Date d'extraction : 11/02/2025 - 14h24 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;NORTXm_seas_JJA;NORTX30D_yr;NORRx1d_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
4385;43.6805;5.0618;REF;27.79;30.3;59.5;44;199;
4386;43.678;5.1608;REF;27.26;25.7;61.12;38;153;
4387;43.6753;5.2598;REF;27.91;34;51.4;23;139;
4388;43.6726;5.3588;REF;27.76;32.7;51.73;22;120;
4389;43.6698;5.4578;REF;28.57;39.6;53.54;24;140;
4390;43.6669;5.5568;REF;28.29;37.1;53.6;23;148;
4391;43.6639;5.6558;REF;27.26;28.2;50.2;20;151;
4392;43.6608;5.7547;REF;27.02;26;50.62;19;142;
4393;43.6577;5.8537;REF;27.45;29;56.89;17;129;
4394;43.6544;5.9526;REF;26.63;21.7;61.25;16;120;
4395;43.6511;6.0515;REF;26.39;19.8;61.74;16;126;
4396;43.6476;6.1504;REF;26.53;18.1;61.17;6;109;
4397;43.6441;6.2493;REF;24.91;8;64.51;6;92;
4398;43.6405;6.3482;REF;24.32;5.8;71.09;6;87;
4399;43.6367;6.4471;REF;24.74;7.4;71.49;6;93;
4400;43.6329;6.546;REF;24.95;8.2;71.17;6;94;
4401;43.629;6.6448;REF;26.55;18.4;67.39;7;112;
4402;43.6251;6.7436;REF;27.2;24.2;79.83;10;120;
4403;43.621;6.8425;REF;26.46;14.4;79.51;6;118;
4404;43.6168;6.9413;REF;26.69;14;75.64;6;127;
4405;43.6126;7.0401;REF;26.66;14.1;76.96;6;124;
4406;43.6082;7.1388;REF;27;14.8;75.44;8;142;
4463;43.7228;-1.3831;REF;23.87;8.8;46.8;0;53;
4464;43.7262;-1.284;REF;23.63;8.1;47.92;0;38;
4465;43.7295;-1.185;REF;24.83;14.1;48.18;0;37;
4466;43.7326;-1.0859;REF;25.07;15;47.77;0;51;
4467;43.7357;-0.9868;REF;25.17;15.4;48.87;0;52;
4468;43.7387;-0.8877;REF;25.74;19.5;43.57;1;77;
4469;43.7416;-0.7886;REF;25.63;18.9;43.46;0;68;
4470;43.7444;-0.6895;REF;25.62;18.7;41.92;1;66;
4471;43.7472;-0.5904;REF;25.53;18.2;42.04;1;65;
4472;43.7498;-0.4912;REF;25.3;17.1;42.45;0;61;
4473;43.7523;-0.3921;REF;25.14;16.4;41.87;0;57;
4474;43.7548;-0.293;REF;25.21;16.7;41.78;0;64;
4475;43.7571;-0.1938;REF;25.24;17.5;37.41;0;70;
4476;43.7594;-0.0946;REF;25.53;19.1;37.55;0;78;
4477;43.7616;0.0045;REF;25.46;18.8;37.64;0;77;
4478;43.7637;0.1037;REF;25.06;16.8;38.07;0;73;
4479;43.7657;0.2029;REF;25.07;15.8;35.25;1;105;
4480;43.7676;0.3021;REF;25.26;16.9;35.4;1;111;
4481;43.7694;0.4013;REF;25.21;16.3;36.44;2;109;
4482;43.7711;0.5005;REF;24.91;15.3;36.82;1;96;
4483;43.7728;0.5997;REF;25.23;16.4;36.36;1;105;
4484;43.7743;0.6989;REF;25.41;17.5;34.28;2;111;
4485;43.7758;0.7982;REF;25.39;17.4;34.31;2;107;
4486;43.7771;0.8974;REF;25.52;18.1;35.42;2;114;
4487;43.7784;0.9966;REF;25.3;16.5;38.11;4;120;
4488;43.7796;1.0959;REF;25.15;15.9;38.33;4;126;
4489;43.7807;1.1951;REF;25.67;18.2;37.04;4;140;
4490;43.7817;1.2944;REF;26.02;20.2;37.32;5;150;
4491;43.7826;1.3936;REF;25.66;18.3;37.12;5;139;
4492;43.7834;1.4929;REF;25.65;18.3;37.87;5;133;
4493;43.7841;1.5921;REF;26.32;24.3;37.91;3;136;
4494;43.7848;1.6914;REF;26.35;24.5;38.12;3;131;
4495;43.7853;1.7906;REF;26.07;22.9;37.93;3;122;
4496;43.7858;1.8899;REF;25.67;20.4;38.41;3;116;
4497;43.7861;1.9891;REF;25.77;20.2;39.34;5;111;
4498;43.7864;2.0884;REF;25.65;20.3;39.67;3;99;
4499;43.7866;2.1877;REF;25.38;18.8;40.44;3;112;
4500;43.7867;2.2869;REF;24.3;13.2;43.21;2;115;
4501;43.7867;2.3862;REF;23.67;10;52.97;2;107;
4502;43.7866;2.4855;REF;22.82;7.2;53.46;2;90;
4503;43.7864;2.5847;REF;22.1;5.6;56.21;2;70;
4504;43.7861;2.684;REF;22.68;7;55.79;2;69;
4505;43.7858;2.7833;REF;22.27;5.8;58.14;1;58;
4506;43.7853;2.8825;REF;22.17;5.6;60.93;1;60;
4507;43.7848;2.9818;REF;23.15;8.1;58.69;5;92;
4508;43.7841;3.081;REF;24.05;10.4;103.81;8;86;
4509;43.7834;3.1803;REF;23.98;10;104.89;7;80;
4510;43.7826;3.2795;REF;24.29;11.4;103.53;8;80;
4511;43.7817;3.3788;REF;24.48;11.9;103.88;9;83;
4512;43.7807;3.478;REF;23.65;8.5;106.81;8;66;
4513;43.7796;3.5773;REF;25.57;17.8;101.39;15;94;
4514;43.7784;3.6765;REF;26.79;23.7;91.48;12;102;
4515;43.7771;3.7757;REF;27.14;26.4;87.61;15;94;
4516;43.7758;3.875;REF;27.71;30.2;85.38;18;100;
4517;43.7743;3.9742;REF;27.98;32.4;78.3;21;107;
4518;43.7728;4.0734;REF;28.5;37.5;82.96;20;100;
4519;43.7712;4.1726;REF;28.37;36.6;69.19;34;138;
4520;43.7694;4.2718;REF;28.54;38.4;68.08;35;150;
4521;43.7676;4.371;REF;28.44;37.2;68.32;35;141;
4522;43.7657;4.4702;REF;28.44;37.2;67.97;34;120;
4523;43.7637;4.5694;REF;28.72;41.8;62.72;38;148;
4524;43.7616;4.6686;REF;28.59;39.5;60.61;39;179;
4525;43.7594;4.7678;REF;28.13;35.5;63.97;30;182;
4526;43.7572;4.8669;REF;27.7;31.1;63.49;27;153;
4527;43.7548;4.9661;REF;27.62;30.5;63.95;26;160;
4528;43.7524;5.0652;REF;27.94;33.5;62.52;28;149;
4529;43.7498;5.1644;REF;28.05;35.3;56.56;28;148;
4530;43.7472;5.2635;REF;27.9;33.6;56.95;27;132;
4531;43.7445;5.3626;REF;28.48;38.6;54.95;24;139;
4532;43.7417;5.4618;REF;28.1;35.4;56.38;23;101;
4533;43.7388;5.5609;REF;27.74;32.1;58.13;21;88;
4534;43.7358;5.66;REF;27;25.5;60.47;19;125;
4535;43.7327;5.759;REF;28.38;38.5;56.14;19;132;
4536;43.7295;5.8581;REF;28.27;37.1;45.27;20;164;
4537;43.7262;5.9572;REF;27.44;29.8;47.2;18;158;
4538;43.7229;6.0562;REF;27.31;28.4;47.41;18;137;
4539;43.7194;6.1552;REF;26.12;15.1;61.71;6;108;
4540;43.7159;6.2543;REF;23.77;4.3;67.37;6;89;
4541;43.7123;6.3533;REF;23.41;3.4;67.93;5;81;
4542;43.7086;6.4523;REF;23.42;3.3;74.91;6;75;
4543;43.7047;6.5513;REF;23.59;3.7;74.6;6;80;
4544;43.7008;6.6502;REF;22.36;1.5;75.67;4;75;
4545;43.6969;6.7492;REF;24.55;6.8;72.37;6;94;
4546;43.6928;6.8481;REF;24.37;6.9;86.26;3;81;
4547;43.6886;6.9471;REF;24.34;5.1;91.8;4;92;
4548;43.6843;7.046;REF;26.46;14.3;81.92;6;113;
4549;43.68;7.1449;REF;25.97;6.5;68.77;5;153;
4550;43.6756;7.2438;REF;26.15;6.7;66.82;4;161;
4551;43.671;7.3427;REF;26.22;6.8;66.07;4;161;
4606;43.7947;-1.3878;REF;23.94;8.9;46.91;0;54;
4607;43.798;-1.2886;REF;23.8;8.6;47.13;0;41;
4608;43.8013;-1.1894;REF;25.03;16.1;48.12;0;44;
4609;43.8045;-1.0902;REF;24.86;15.1;46.51;0;42;
4610;43.8076;-0.991;REF;24.99;15.8;47.41;0;42;
4611;43.8106;-0.8918;REF;25.91;20.6;42.7;1;70;
4612;43.8135;-0.7926;REF;25.79;19.8;42.86;1;70;
4613;43.8163;-0.6933;REF;25.49;18.1;42.75;1;66;
4614;43.819;-0.5941;REF;25.42;17.6;42.59;0;65;
4615;43.8217;-0.4948;REF;25.39;17.5;42.62;0;67;
4616;43.8242;-0.3956;REF;25.21;16.7;41.78;0;66;
4617;43.8267;-0.2963;REF;25.51;18.5;37.34;0;85;
4618;43.829;-0.197;REF;25.48;18.3;37.12;0;88;
4619;43.8313;-0.0977;REF;25.63;19.4;37.49;0;77;
4620;43.8335;0.0016;REF;25.37;18.2;37.83;0;66;
4621;43.8356;0.1009;REF;25.14;17.1;37.81;0;62;
4622;43.8376;0.2002;REF;25.23;17.3;37.97;0;62;
4623;43.8395;0.2995;REF;25.32;16.9;35.11;1;110;
4624;43.8413;0.3989;REF;25.48;17.6;35.54;1;107;
4625;43.843;0.4982;REF;25.1;16.2;37.08;1;88;
4626;43.8447;0.5975;REF;25.65;18.5;36.59;2;124;
4627;43.8462;0.6969;REF;25.66;18.6;35.51;3;121;
4628;43.8477;0.7962;REF;25.47;17.8;35.79;2;110;
4629;43.849;0.8956;REF;25.42;17.6;35.8;2;106;
4630;43.8503;0.9949;REF;25.45;17.7;36.42;2;105;
4631;43.8515;1.0943;REF;25.2;16.5;37.42;2;116;
4632;43.8526;1.1937;REF;25.9;20.2;38.38;2;132;
4633;43.8536;1.293;REF;25.91;20.6;38.95;2;118;
4634;43.8545;1.3924;REF;25.89;19.6;37.5;5;133;
4635;43.8553;1.4918;REF;26.44;25.1;37.15;3;131;
4636;43.856;1.5912;REF;25.99;22.4;39.16;3;114;
4637;43.8567;1.6905;REF;25.93;21.9;39.27;3;106;
4638;43.8572;1.7899;REF;26.26;23.8;37.54;3;120;
4639;43.8577;1.8893;REF;26.04;22.6;38.61;3;118;
4640;43.858;1.9887;REF;25.77;21.1;39.32;3;111;
4641;43.8583;2.0881;REF;25.6;19.9;39.45;3;111;
4642;43.8585;2.1875;REF;25.31;18.3;39.72;3;117;
4643;43.8586;2.2869;REF;24.46;13.8;41.82;2;122;
4644;43.8586;2.3863;REF;23.8;10.4;51.85;3;94;
4645;43.8585;2.4857;REF;22.98;7.8;53.38;2;88;
4646;43.8583;2.585;REF;22.96;7.8;55.36;2;81;
4647;43.858;2.6844;REF;24.25;12.5;53.42;6;108;
4648;43.8577;2.7838;REF;24.61;14;52.89;6;108;
4649;43.8572;2.8832;REF;24.46;13.4;54.14;6;111;
4650;43.8567;2.9826;REF;23.57;9.8;55.1;6;101;
4651;43.856;3.082;REF;24;10.3;79.83;8;91;
4652;43.8553;3.1814;REF;23.32;7.6;82.83;7;86;
4653;43.8545;3.2807;REF;22.48;4.9;108.45;6;66;
4654;43.8536;3.3801;REF;22.63;5.2;108.67;6;56;
4655;43.8526;3.4795;REF;23.71;8.8;106.81;8;65;
4656;43.8515;3.5788;REF;25.29;14.7;115.97;4;68;
4657;43.8503;3.6782;REF;26.54;24.4;96.63;22;103;
4658;43.849;3.7776;REF;27.01;25.4;86.76;14;93;
4659;43.8477;3.8769;REF;27.14;26.5;85.59;15;92;
4660;43.8462;3.9763;REF;28;32.4;85.46;17;96;
4661;43.8447;4.0756;REF;28.27;35.1;81.83;20;94;
4662;43.843;4.1749;REF;27.84;30.7;70.47;30;142;
4663;43.8413;4.2743;REF;27.85;31.1;70.11;30;146;
4664;43.8395;4.3736;REF;28.33;36.1;67.99;33;148;
4665;43.8376;4.4729;REF;28.44;37.3;67.67;34;124;
4666;43.8356;4.5722;REF;28.42;38.5;65.22;35;106;
4667;43.8335;4.6715;REF;28.5;38.5;61.2;38;189;
4668;43.8313;4.7708;REF;28.71;41.4;61.27;34;186;
4669;43.8291;4.8701;REF;28.49;39.2;61.19;32;182;
4670;43.8267;4.9694;REF;28.41;38.3;61.42;31;171;
4671;43.8242;5.0687;REF;28.34;37.8;56.97;29;143;
4672;43.8217;5.168;REF;26.76;23.9;60.75;22;120;
4673;43.8191;5.2672;REF;27.21;27;58.26;19;122;
4674;43.8163;5.3665;REF;26.21;19.3;61.84;18;128;
4675;43.8135;5.4657;REF;25.12;11.6;64.49;17;111;
4676;43.8106;5.5649;REF;26.6;21;66.18;17;105;
4677;43.8076;5.6641;REF;26.94;24.1;63.15;19;115;
4678;43.8045;5.7634;REF;28.04;35.1;60.91;22;110;
4679;43.8013;5.8625;REF;27.62;30.9;46.25;24;145;
4680;43.7981;5.9617;REF;27.26;27.6;46.4;17;144;
4681;43.7947;6.0609;REF;26.77;23.3;47.27;16;106;
4682;43.7913;6.1601;REF;26.45;20.2;51.97;15;118;
4683;43.7877;6.2592;REF;24.81;9.1;56.7;10;103;
4684;43.7841;6.3584;REF;23.03;3.3;58.83;6;82;
4685;43.7804;6.4575;REF;23.45;3.5;68.39;5;75;
4686;43.7766;6.5566;REF;22.62;1.8;69.66;4;68;
4687;43.7726;6.6557;REF;20.77;0.3;88.46;1;56;
4688;43.7687;6.7548;REF;20.01;0.1;91.46;1;53;
4689;43.7646;6.8538;REF;20.44;0.2;91.8;2;59;
4690;43.7604;6.9529;REF;23.14;2.7;91.15;2;86;
4691;43.7561;7.0519;REF;22.47;1.4;98.09;3;76;
4692;43.7518;7.151;REF;24.72;4.6;76.84;3;106;
4693;43.7473;7.25;REF;25.51;7.2;72.12;4;125;
4694;43.7428;7.349;REF;25.47;7.4;71.96;4;116;
4695;43.7382;7.4479;REF;25.94;6.4;69.73;3;123;
4749;43.8665;-1.3925;REF;23.97;9;46.68;0;59;
4750;43.8699;-1.2932;REF;23.79;8.6;48.17;0;39;
4751;43.8731;-1.1939;REF;25.02;16;47.39;0;43;
4752;43.8763;-1.0945;REF;24.77;14.9;48.15;0;41;
4753;43.8794;-0.9952;REF;24.77;14.9;48.17;0;39;
4754;43.8824;-0.8959;REF;24.97;15.8;45.86;0;40;
4755;43.8853;-0.7965;REF;25.09;16.1;45.68;0;46;
4756;43.8882;-0.6972;REF;25.69;19;41.73;1;70;
4757;43.8909;-0.5978;REF;25.55;18.2;42.42;1;62;
4758;43.8935;-0.4984;REF;25.49;17.9;42.5;1;66;
4759;43.8961;-0.399;REF;25.38;17.6;42.07;1;69;
4760;43.8985;-0.2996;REF;25.71;19.4;37.14;0;96;
4761;43.9009;-0.2002;REF;25.56;18.6;36.98;0;90;
4762;43.9032;-0.1008;REF;25.48;18.5;37.15;0;85;
4763;43.9054;-0.0014;REF;25.34;18.1;37.37;0;81;
4764;43.9075;0.0981;REF;25.27;17.7;37.65;0;68;
4765;43.9095;0.1975;REF;25.37;17.9;37.8;0;62;
4766;43.9114;0.297;REF;25.49;17.7;34.91;1;114;
4767;43.9132;0.3964;REF;25.5;17.7;34.75;1;106;
4768;43.9149;0.4959;REF;25.16;16.4;36.11;1;92;
4769;43.9166;0.5953;REF;25.73;19;36.25;2;125;
4770;43.9181;0.6948;REF;25.41;17.6;36.53;3;110;
4771;43.9196;0.7943;REF;25.48;17.8;35.7;3;109;
4772;43.9209;0.8937;REF;25.13;16.3;37.03;2;105;
4773;43.9222;0.9932;REF;25.34;17.2;36.59;2;107;
4774;43.9234;1.0927;REF;25.51;18.1;36.39;2;124;
4775;43.9245;1.1922;REF;26.06;21.3;37.21;3;136;
4776;43.9255;1.2917;REF;26.05;21.2;37.11;3;131;
4777;43.9264;1.3912;REF;26.03;21.1;37.14;3;122;
4778;43.9272;1.4907;REF;25.82;20.4;41.19;2;110;
4779;43.928;1.5902;REF;26.17;23.7;39.56;3;107;
4780;43.9286;1.6897;REF;25.93;22.3;39.88;3;103;
4781;43.9291;1.7892;REF;25.5;19.5;38.59;3;116;
4782;43.9296;1.8888;REF;25.85;21.3;38.85;3;108;
4783;43.93;1.9883;REF;26.03;22.6;38.74;3;114;
4784;43.9302;2.0878;REF;25.89;21.7;38.7;3;115;
4785;43.9304;2.1873;REF;25.75;20.8;39.73;3;124;
4786;43.9305;2.2868;REF;24.91;16.1;41.39;3;109;
4787;43.9305;2.3863;REF;24.22;12.8;43.92;2;102;
4788;43.9304;2.4858;REF;23.82;11.5;44.93;2;102;
4789;43.9302;2.5854;REF;24.49;13.6;48.88;7;118;
4790;43.93;2.6849;REF;24.33;12.9;50.39;6;106;
4791;43.9296;2.7844;REF;24.94;15.5;49.65;6;111;
4792;43.9291;2.8839;REF;24.3;12.8;52.29;6;105;
4793;43.9286;2.9834;REF;24.22;11.5;78.68;9;98;
4794;43.928;3.0829;REF;23.05;6.4;81.93;7;72;
4795;43.9272;3.1824;REF;22.85;6;84.2;7;77;
4796;43.9264;3.2819;REF;22.48;5;85.39;6;46;
4797;43.9255;3.3814;REF;23.16;5.4;120.8;2;54;
4798;43.9245;3.4809;REF;23.87;7.7;121.61;2;54;
4799;43.9234;3.5804;REF;24.7;11.8;121.04;4;65;
4800;43.9222;3.6799;REF;26.32;23;100.76;21;104;
4801;43.921;3.7794;REF;27;25.3;86.81;14;103;
4802;43.9196;3.8789;REF;27.46;28.5;90.49;13;90;
4803;43.9181;3.9783;REF;27.7;30.1;86.14;15;104;
4804;43.9166;4.0778;REF;28.26;36.6;91.23;19;108;
4805;43.9149;4.1773;REF;28.04;34.4;92.17;18;100;
4806;43.9132;4.2767;REF;28.35;37.3;86.18;20;108;
4807;43.9114;4.3762;REF;27.66;29.1;68.52;28;156;
4808;43.9095;4.4756;REF;27.79;30.2;69.56;29;145;
4809;43.9075;4.5751;REF;28.43;38.6;64.35;35;113;
4810;43.9054;4.6745;REF;28.39;38.1;62.55;34;131;
4811;43.9032;4.7739;REF;28.62;40.4;59.94;32;168;
4812;43.9009;4.8733;REF;28.58;40.2;59.98;31;139;
4813;43.8986;4.9728;REF;28.39;38.6;60.28;29;144;
4814;43.8961;5.0722;REF;28.67;41.1;54.93;32;167;
4815;43.8936;5.1715;REF;28.28;37.7;55.32;22;137;
4816;43.8909;5.2709;REF;28.39;38.8;55.03;22;122;
4817;43.8882;5.3703;REF;27.96;34.4;58.51;20;124;
4818;43.8854;5.4697;REF;26.97;24.9;62.5;18;114;
4819;43.8825;5.569;REF;26.34;20.4;63.73;18;108;
4820;43.8795;5.6684;REF;26.5;20.1;64.97;17;116;
4821;43.8764;5.7677;REF;26.84;23.2;60.59;18;113;
4822;43.8732;5.867;REF;27.75;32.4;47.5;24;135;
4823;43.8699;5.9663;REF;27.11;26.4;46.67;17;133;
4824;43.8665;6.0656;REF;26.36;19.1;49.77;14;100;
4825;43.8631;6.1649;REF;25.59;12.6;51.14;13;94;
4826;43.8595;6.2642;REF;21.75;1.2;57.37;3;68;
4827;43.8559;6.3634;REF;20.62;0.5;58.75;2;62;
4828;43.8522;6.4627;REF;23.13;4.4;65.02;2;65;
4829;43.8484;6.5619;REF;22.2;2.3;66.98;2;66;
4830;43.8445;6.6611;REF;21.01;0.9;71.65;1;56;
4831;43.8405;6.7604;REF;20.7;0.3;89.68;2;64;
4832;43.8364;6.8595;REF;21.69;0.6;87.97;2;70;
4833;43.8322;6.9587;REF;21.49;0.6;88.43;2;73;
4834;43.8279;7.0579;REF;23.66;4.4;86.3;2;83;
4835;43.8235;7.157;REF;25.27;7.8;88.56;4;90;
4836;43.8191;7.2562;REF;25.09;8.5;82.13;1;94;
4837;43.8146;7.3553;REF;25.38;10.2;79.45;1;102;
4838;43.8099;7.4544;REF;24.36;5.7;83.04;1;104;
4839;43.8052;7.5535;REF;25.54;7.2;79.61;4;118;
4892;43.9383;-1.3972;REF;24.03;9.2;46.77;0;71;
4893;43.9417;-1.2978;REF;23.69;8.3;47.68;0;60;
4894;43.945;-1.1983;REF;23.47;7.7;48.68;0;47;
4895;43.9482;-1.0989;REF;24.76;14.9;47.14;0;39;
4896;43.9513;-0.9994;REF;24.64;14.4;47.33;0;42;
4897;43.9543;-0.9;REF;24.74;14.9;46.22;0;39;
4898;43.9572;-0.8005;REF;24.89;15.4;45.37;0;43;
4899;43.96;-0.701;REF;25.48;17.9;41.96;1;50;
4900;43.9628;-0.6015;REF;25.51;18.2;42.34;1;53;
4901;43.9654;-0.502;REF;25.71;20.1;39.82;1;69;
4902;43.968;-0.4025;REF;25.54;19;39.43;1;78;
4903;43.9704;-0.303;REF;25.31;17.9;40.13;1;79;
4904;43.9728;-0.2034;REF;25.39;18.1;37.02;0;96;
4905;43.9751;-0.1039;REF;25.16;17.1;37.82;0;83;
4906;43.9773;-0.0043;REF;24.93;16.1;38.24;1;85;
4907;43.9793;0.0952;REF;25.2;16.2;35.89;1;90;
4908;43.9814;0.1948;REF;25.49;17.5;36.52;1;99;
4909;43.9833;0.2944;REF;25.46;17.3;36.49;1;114;
4910;43.9851;0.3939;REF;25.52;17.8;34.28;1;104;
4911;43.9868;0.4935;REF;25.16;16.4;35.51;1;99;
4912;43.9885;0.5931;REF;25.56;18.1;36.13;1;100;
4913;43.99;0.6927;REF;25.66;18.6;36.19;3;120;
4914;43.9915;0.7923;REF;25.74;19;35.42;3;120;
4915;43.9928;0.8919;REF;25.46;17.8;36.57;2;114;
4916;43.9941;0.9915;REF;25.65;19;37.2;2;123;
4917;43.9953;1.0911;REF;25.84;20;36.5;2;132;
4918;43.9964;1.1908;REF;26.19;22.1;36.33;3;137;
4919;43.9974;1.2904;REF;26.19;22.2;36.93;3;132;
4920;43.9983;1.39;REF;25.95;20.7;38.6;3;124;
4921;43.9991;1.4896;REF;25.64;19.6;41.5;2;115;
4922;43.9999;1.5893;REF;25.48;18.9;41.96;2;111;
4923;44.0005;1.6889;REF;25.61;20.6;40.42;3;104;
4924;44.0011;1.7885;REF;25.56;20.1;40.61;3;102;
4925;44.0015;1.8882;REF;25.65;20.8;40.1;3;89;
4926;44.0019;1.9878;REF;25.5;20;40.25;3;79;
4927;44.0022;2.0875;REF;25.31;18.7;39.65;3;81;
4928;44.0023;2.1871;REF;25.35;18.8;41.26;3;110;
4929;44.0024;2.2867;REF;24.4;13.8;43.24;2;106;
4930;44.0024;2.3864;REF;23.9;11.6;44.44;2;108;
4931;44.0023;2.486;REF;23.59;10.5;44.65;2;110;
4932;44.0022;2.5857;REF;24.2;12.3;48.81;7;122;
4933;44.0019;2.6853;REF;24.79;14.7;49.48;6;118;
4934;44.0015;2.785;REF;24.67;14.2;49.99;6;106;
4935;44.0011;2.8846;REF;23.43;9.4;53.78;6;94;
4936;44.0005;2.9842;REF;23.64;9.9;53.19;6;90;
4937;43.9999;3.0839;REF;23.03;6.4;80.85;8;76;
4938;43.9991;3.1835;REF;22.37;4.6;82.45;7;72;
4939;43.9983;3.2831;REF;23.23;7.2;80.46;7;73;
4940;43.9974;3.3827;REF;22.44;4.8;82.55;6;82;
4941;43.9964;3.4824;REF;22.35;3.8;127.87;2;62;
4942;43.9953;3.582;REF;25.16;14.1;119.04;4;84;
4943;43.9941;3.6816;REF;26.52;23.2;113.42;7;90;
4944;43.9929;3.7812;REF;25.26;14.7;119.34;6;73;
4945;43.9915;3.8808;REF;27.17;28.5;109.17;11;78;
4946;43.99;3.9804;REF;27.93;33.5;94.5;18;98;
4947;43.9885;4.08;REF;28.27;36.6;90.09;20;50;
4948;43.9868;4.1796;REF;28.28;36.7;86.53;20;93;
4949;43.9851;4.2792;REF;28.36;37.4;86.15;20;83;
4950;43.9833;4.3788;REF;28.38;37.5;87.19;20;96;
4951;43.9814;4.4783;REF;27.96;31.9;67.64;31;158;
4952;43.9794;4.5779;REF;27.93;31.4;68.65;30;140;
4953;43.9773;4.6775;REF;27.75;31.4;65.26;28;120;
4954;43.9751;4.777;REF;28.36;37.8;63.87;34;135;
4955;43.9728;4.8766;REF;28.65;40.8;60.9;31;130;
4956;43.9704;4.9761;REF;28.9;43.4;53.56;33;166;
4957;43.968;5.0756;REF;28.11;35.7;55.77;27;146;
4958;43.9654;5.1751;REF;26.31;20;59.94;17;131;
4959;43.9628;5.2746;REF;26.07;18.2;62.25;17;123;
4960;43.9601;5.3741;REF;25.61;14.8;65.64;17;119;
4961;43.9572;5.4736;REF;23.46;4.3;69;14;100;
4962;43.9543;5.5731;REF;25.67;13;68.73;14;108;
4963;43.9513;5.6726;REF;25.47;11.9;67;15;84;
4964;43.9482;5.772;REF;26.66;21.4;61;18;95;
4965;43.945;5.8715;REF;27.34;28.2;48.06;22;110;
4966;43.9418;5.9709;REF;26.97;25.3;48.35;16;139;
4967;43.9384;6.0703;REF;26.42;19.8;49.53;15;80;
4968;43.9349;6.1697;REF;25.9;15.3;50.32;14;101;
4969;43.9314;6.2691;REF;21.89;1.4;55.47;4;81;
4970;43.9277;6.3685;REF;22.67;2.6;54.83;4;83;
4971;43.924;6.4679;REF;21.95;2.1;66.6;2;57;
4972;43.9202;6.5673;REF;21.89;2;67.5;2;67;
4973;43.9163;6.6666;REF;21.34;1.2;68.58;2;67;
4974;43.9123;6.7659;REF;22.8;3.4;66.12;3;79;
4975;43.9082;6.8653;REF;24.6;10.1;66.05;4;84;
4976;43.904;6.9646;REF;24.59;7.6;79.09;2;82;
4977;43.8997;7.0639;REF;24.62;7.8;80.88;3;86;
4978;43.8953;7.1631;REF;25.38;11.8;83.71;3;95;
4979;43.8909;7.2624;REF;23.24;2.4;87.82;1;92;
4980;43.8863;7.3616;REF;22.46;1.2;94.71;1;89;
4981;43.8817;7.4609;REF;23.87;4;92.42;1;101;
4982;43.877;7.5601;REF;25.35;9.9;86.98;1;103;
5036;44.0136;-1.3024;REF;23.73;8.2;47.75;0;64;
5037;44.0168;-1.2028;REF;23.65;8.1;47.89;0;41;
5038;44.02;-1.1032;REF;24.87;15.3;46.95;0;47;
5039;44.0231;-1.0037;REF;24.72;14.9;47.19;0;37;
5040;44.0261;-0.9041;REF;24.78;15.1;46.95;0;36;
5041;44.0291;-0.8045;REF;25.02;17.5;45.2;0;46;
5042;44.0319;-0.7049;REF;25.47;18.7;39.29;1;64;
5043;44.0346;-0.6052;REF;25.51;19;40.84;1;62;
5044;44.0373;-0.5056;REF;25.47;18.8;40.1;1;69;
5045;44.0398;-0.406;REF;25.56;19.1;39.42;1;61;
5046;44.0423;-0.3063;REF;25.49;18.7;39.9;1;69;
5047;44.0447;-0.2066;REF;25.28;17.6;38.44;0;68;
5048;44.047;-0.107;REF;25.05;16.5;38.66;1;65;
5049;44.0491;-0.0073;REF;24.97;16.3;38.27;1;65;
5050;44.0512;0.0924;REF;25.15;16.1;36.25;1;84;
5051;44.0533;0.1921;REF;25.24;16.3;36.01;1;99;
5052;44.0552;0.2918;REF;25.64;18.1;36.55;1;119;
5053;44.057;0.3915;REF;25.64;18.1;36.55;1;117;
5054;44.0587;0.4912;REF;25.46;17.4;36.91;1;107;
5055;44.0604;0.5909;REF;25.43;17.4;36.76;1;96;
5056;44.0619;0.6906;REF;25.75;19.1;34.09;3;127;
5057;44.0634;0.7904;REF;25.64;18.7;34.24;3;134;
5058;44.0648;0.8901;REF;25.97;20.9;36.8;2;132;
5059;44.066;0.9898;REF;26.09;21.6;36.5;2;136;
5060;44.0672;1.0896;REF;26.13;21.9;36.03;2;146;
5061;44.0683;1.1893;REF;26.04;21.2;36.16;2;136;
5062;44.0693;1.2891;REF;26.05;21.5;36.73;2;135;
5063;44.0702;1.3888;REF;26.13;21.9;36.15;2;124;
5064;44.0711;1.4886;REF;26.11;21.8;36.17;3;101;
